addon_name ts1 ts2 ts3
"<empty profile>" 587 455 455 469 484
"<empty profile>" 573 470 456 480 465
NoScript
"Personas Plus" 589 494 590 503 597
"Adblock Plus" 585 486 492 487 515
FlashGot 596 497 494 489 517
Greasemonkey 621 505 512 486 509
Firebug 737 647 653 659 665
"Download Statusbar" 562 495 479 511 481
DownThemAll! 576 500 498 503 494
Cooliris 579 800 516 464 496
Stylish 568 480 527 483 498
"FastestFox - Browse Faster" 679 556 562 566 582
CoolPreviews 974 813 780 754 742
FireFTP 664 457 464 477 479
ImTranslator 604 461 503 488 492
"WOT - Safe Browsing Tool" 593 494 515 500 516
"Coral IE Tab" 647 593 623 615 588
AniWeather 558 484 498 478 477
"Xmarks Bookmark and Password Sync" 663 558 582 554 554
"IE Tab" 585 517 505 564 489
ReminderFox 613 509 493 481 508
"Tab Mix Plus" 708 562 584 545 550
"Web Developer" 607 540 494 508 497
"1-Click YouTube Video Download" 574 478 485 474 480
"Google Shortcuts - All Google Services at a glance" 2963 2803 2788 2800 2786
"Fast YouTube Download" 548 498 495 474 454
"Easy YouTube Video Downloader" 532 467 462 477 460
"Yoono - Twitter, Facebook, LinkedIn, MySpace, Flickr, AIM, MSN, GTalk..." 765 666 667 654 670
"Fox Splitter (formerly Split Browser)" 602 489 509 505 523
ColorfulTabs 632 489 460 456 469
"Download Manager Tweak" 544 453 465 475 468
"TV-FOX  - Watch TV Online" 588 490 497 479 496
"iMacros for Firefox" 631 480 514 504 502
Lightning 548 483 449 453 472
Flashblock 557 457 499 470 465
Flagfox 577 484 470 493 476
"Fast Video Download (with SearchMenu)" 628 526 539 529 539
"Speed Dial" 566 494 455 481 474
ScrapBook 561 480 477 483 499
"FoxyProxy Standard" 633 550 499 510 495
"Ant.com Video Downloader + Video Player" 591 475 481 507 478
FireGestures 581 483 466 491 492
"Multirow Bookmarks Toolbar" 595 471 458 479 473
"Weave Browser Sync" 678 511 528 521 517
"Download Flash and Video" 545 465 462 473 474
"VideoSurf Videos at a Glance" 549 468 495 484 470
AddThis
"PDF Download" 576 462 460 480 481
Forecastfox 581 474 474 489 519
"Flash Video Downloader" 579 492 475 506 471
BetterPrivacy
"User Agent Switcher" 554 470 456 469 484
"YouTube to MP3" 536 481 470 462 458
"Fast Dial" 606 477 460 509 474
"Glue - Recommendations for Books/Movies/Music " 601 505 555 496 496
"SimilarWeb - The Ultimate Discovery Tool" 662 566 516 587 554
Screengrab 585 481 487 470 470
"Tamper Data" 592 468 472 455 477
Feedly 758 675 679 652 719
"Download YouTube Videos +" 595 477 485 491 490
"SkipScreen -- INCREDIBLE Rapidshare and Megaupload download helper!" 603 478 474 465 471
ReloadEvery 602 474 468 467 464
Torbutton 651 514 506 526 530
"Google Toolbar" 567 506 483 474 490
"Facebook Toolbar" 582 523 483 498 501
TwitterBar 672 468 487 490 461
ColorZilla 559 470 470 487 486
WeatherBug 563 476 478 467 486
"All-in-One Sidebar" 622 531 548 517 531
"RapidShare DownloadHelper" 559 480 465 457 457
StumbleUpon 611 504 506 510 527
FireShot 577 500 489 477 471
FEBE 593 480 514 510 484
"IE View" 591 468 452 462 472
"Adblock Plus: Element Hiding Helper" 556 481 454 488 453
"FoxLingo Translator" 664 701 687 702 706
FireDownload 588 463 462 464 466
"RSS Ticker" 568 493 469 476 487
"Image Zoom" 539 468 468 480 449
"Keep Tube: Download Youtube Videos (HD 1080p & 720p), Dailymotion, Vimeo, Megavideo, Metacafe, Google, Yahoo, Spike, Myspace, Facebook, Veoh, Break, Current, Redtube videos and more!" 536 484 488 485 468
SearchPreview 605 696 463 468 458
AutoProxy 585 499 513 536 505
AutoPager 1089 1030 1020 1005 1054
"WebMail Notifier" 600 504 491 491 488
"Gmail Notifier" 570 469 477 468 489
"Integrated Gmail" 569 471 477 509 499
"Echofon for Twitter" 602 528 493 497 502
"Tree Style Tab" 644 532 565 549 547
FoxyTunes 764 679 663 674 664
"Read It Later" 669 517 496 544 514
"Live HTTP Headers" 552 476 454 477 469
"MinimizeToTray Plus" 588 675 488 487 468
Picnik 554 463 456 467 462
Fire.fm 718 642 643 598 658
"Delicious Bookmarks" 668 573 552 558 555
"Provider for Google Calendar" 588 486 459 456 493
FoxClocks 820 688 708 676 728
