addon_name ts_average
"<empty profile>" 490
"<empty profile>" 488
NoScript "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 56, in <module>
    run_talos(prof, name)
  File ""test.py"", line 26, in run_talos
    average = int(round(reduce(lambda x, y: int(x)+int(y), results) / cycles))
TypeError: reduce() of empty sequence with no initial value
"
"Personas Plus" 554
"Adblock Plus" 513
"Video DownloadHelper" "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 54, in <module>
    prof = Profile(plugins=[""addon.xpi""])
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 188, in __init__
    self.install_plugin(plugin)
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 206, in install_plugin
    compressed_file = zipfile.ZipFile(plugin, ""r"")
  File ""/usr/lib/python2.6/zipfile.py"", line 693, in __init__
    self._GetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 713, in _GetContents
    self._RealGetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 725, in _RealGetContents
    raise BadZipfile, ""File is not a zip file""
BadZipfile: File is not a zip file
"
FlashGot 518
Greasemonkey 526
Firebug 672
FoxTab "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 54, in <module>
    prof = Profile(plugins=[""addon.xpi""])
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 188, in __init__
    self.install_plugin(plugin)
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 206, in install_plugin
    compressed_file = zipfile.ZipFile(plugin, ""r"")
  File ""/usr/lib/python2.6/zipfile.py"", line 693, in __init__
    self._GetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 713, in _GetContents
    self._RealGetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 725, in _RealGetContents
    raise BadZipfile, ""File is not a zip file""
BadZipfile: File is not a zip file
"
"Download Statusbar" 505
DownThemAll! 514
Cooliris 571
Stylish 511
"FastestFox - Browse Faster" 589
CoolPreviews 812
FireFTP 508
ImTranslator 509
"WOT - Safe Browsing Tool" 523
"Coral IE Tab" 613
AniWeather 499
"Xmarks Bookmark and Password Sync" 582
"IE Tab" 532
ReminderFox 520
"Tab Mix Plus" 589
"Web Developer" 529
"1-Click YouTube Video Download" 498
"Google Shortcuts - All Google Services at a glance" 2828
"Fast YouTube Download" 493
"Easy YouTube Video Downloader" 479
"Yoono - Twitter, Facebook, LinkedIn, MySpace, Flickr, AIM, MSN, GTalk..." 684
"Fox Splitter (formerly Split Browser)" 525
ColorfulTabs 501
"Download Manager Tweak" 481
"TV-FOX  - Watch TV Online" 510
"iMacros for Firefox" 526
Lightning 481
Flashblock 489
Flagfox 500
"Fast Video Download (with SearchMenu)" 552
"Speed Dial" 494
ScrapBook 500
"FoxyProxy Standard" 537
"Ant.com Video Downloader + Video Player" 506
FireGestures 502
"Multirow Bookmarks Toolbar" 495
"Weave Browser Sync" 551
"Download Flash and Video" 483
"VideoSurf Videos at a Glance" 493
AddThis "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 56, in <module>
    run_talos(prof, name)
  File ""test.py"", line 26, in run_talos
    average = int(round(reduce(lambda x, y: int(x)+int(y), results) / cycles))
TypeError: reduce() of empty sequence with no initial value
"
"PDF Download" 491
Forecastfox 507
"Flash Video Downloader" 504
BetterPrivacy "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 56, in <module>
    run_talos(prof, name)
  File ""test.py"", line 26, in run_talos
    average = int(round(reduce(lambda x, y: int(x)+int(y), results) / cycles))
TypeError: reduce() of empty sequence with no initial value
"
"User Agent Switcher" 486
"YouTube to MP3" 481
"Fast Dial" 505
"Glue - Recommendations for Books/Movies/Music " 530
"SimilarWeb - The Ultimate Discovery Tool" 577
Screengrab 498
"Tamper Data" 492
Feedly 696
"Download YouTube Videos +" 507
"SkipScreen -- INCREDIBLE Rapidshare and Megaupload download helper!" 498
ReloadEvery 495
Torbutton 545
"Google Toolbar" 504
"Facebook Toolbar" 517
TwitterBar 515
ColorZilla 494
WeatherBug 494
"Memory Fox" "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 54, in <module>
    prof = Profile(plugins=[""addon.xpi""])
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 188, in __init__
    self.install_plugin(plugin)
  File ""/home/heather/Desktop/mozrunner-2.4.1/mozrunner/__init__.py"", line 206, in install_plugin
    compressed_file = zipfile.ZipFile(plugin, ""r"")
  File ""/usr/lib/python2.6/zipfile.py"", line 693, in __init__
    self._GetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 713, in _GetContents
    self._RealGetContents()
  File ""/usr/lib/python2.6/zipfile.py"", line 725, in _RealGetContents
    raise BadZipfile, ""File is not a zip file""
BadZipfile: File is not a zip file
"
"All-in-One Sidebar" 549
"RapidShare DownloadHelper" 483
StumbleUpon 531
FireShot 502
FEBE 516
"IE View" 489
"Adblock Plus: Element Hiding Helper" 486
"FoxLingo Translator" 692
FireDownload 488
"RSS Ticker" 498
"Image Zoom" 480
"IE Tab 2 (FF 3.6+)" "Exception thrown Traceback (most recent call last):
  File ""test.py"", line 54, in <module>
