"Google Shortcuts - All Google Services at a glance" 2828
AutoPager 1039
"WorldIP - flag and datacenter, ping and traceroute" 1018
Vimperator 1008
"MinimizeToTray For FF 3.5" 859
Zotero 846
CoolPreviews 812
Sxipper 805
"AutoPager Lite" 766
"Compact Menu 2" 763
FoxClocks 724
"Mozilla Labs - Jetpack Prototype" 700
Feedly 696
"FoxLingo Translator" 692
FoxyTunes 688
"Google Redesigned" 686
"Yoono - Twitter, Facebook, LinkedIn, MySpace, Flickr, AIM, MSN, GTalk..." 684
"Yahoo! Toolbar" 676
Firebug 672
foxydeal 657
Fire.fm 651
gladder 648
"Glubble for Families" 646
"Tab Utilities" 646
gTranslate 642
"LinkExtend - Site Ratings" 638
Wired-Marker 635
"samfind Bookmarks Bar" 629
"Weather Watcher Live" 625
"Window Shopper" 621
FootieFox 618
"Coral IE Tab" 613
"Friendbar - The Twitter and Facebook Toolbar" 589
"Tab Mix Plus" 589
"FastestFox - Browse Faster" 589
"Quick Translator" 584
"LastPass Password Manager" 584
"Xmarks Bookmark and Password Sync" 582
"Delicious Bookmarks" 581
Interclue 580
"SimilarWeb - The Ultimate Discovery Tool" 577
"Online Music Player" 571
Cooliris 571
"Yahoo! Mail Watcher" 570
"Pearltrees - the world of your interests" 570
"Screenshot Pimp" 569
"Tree Style Tab" 567
YSlow 565
"Grocery List Generator" 562
Click&Clean 562
"Torrent Finder Toolbar" 562
"Hotmail Watcher" 561
"TooManyTabs - Saves Your Memory" 560
"BabelFish Instant Translation" 560
googlebar 559
"Firefox Secrets" 558
"Extended Statusbar" 558
"Personas Plus" 554
"Fast Video Download (with SearchMenu)" 552
"RUWT? Sports Toolbar" 551
"Weave Browser Sync" 551
"SeoQuake SEO extension" 550
"All-in-One Sidebar" 549
"Feed Sidebar" 548
"Read It Later" 548
"Personas Rotator" 546
Torbutton 545
"Yahoo! Mail Notifier" 544
"eBay Sidebar" 542
Ghostery 541
"MinimizeToTray Plus" 541
SearchPreview 538
AmazonAssist 537
"FoxyProxy Standard" 537
"Quick TransLation (qtl)" 534
"MR Tech Toolkit" 533
"IE Tab" 532
"LOOP to PDF for Firefox" 531
"Toolbar Buttons" 531
"新同文堂 (New Tong Wen Tang)" 531
"Html Validator" 531
StumbleUpon 531
"Glue - Recommendations for Books/Movies/Music " 530
"Web Developer" 529
"Remove Duplicate Messages" 528
NewsFox 528
"FireFTP button" 527
"Personal Menu" 527
AutoProxy 527
"Mozilla Labs - Ubiquity" 526
"iMacros for Firefox" 526
Greasemonkey 526
KidZui 525
"MinimizeToTray revived" 525
"Fox Splitter (formerly Split Browser)" 525
"Browser Backgrounds" 524
"WebRank Toolbar - Google Pagerank, Alexa, Compete and Quantcast Rank with Pick Me Bookmarking" 524
